,character,number of images
0,ഁ,165
1,ം,178
2,ഃ,175
3,അ,169
4,ആ,174
5,ഇ,175
6,ഉ,172
7,ഋ,169
8,എ,193
9,ഏ,177
10,ഒ,179
11,ക,170
12,ക്ക,185
13,ക്ത,176
14,ക്ര,173
15,ക്ല,169
16,ക്ഷ,195
17,ഖ,171
18,ഗ,173
19,ഗ്ഗ,168
20,ഗ്ന,169
21,ഗ്മ,175
22,ഗ്ര,172
23,ഗ്ല,176
24,ഘ,175
25,ങ,179
26,ങ്ക,172
27,ങ്ങ,167
28,ച,167
29,ച്ച,168
30,ച്ഛ,190
31,ഛ,171
32,ജ,185
33,ജ്ജ,158
34,ജ്ഞ,160
35,ഝ,172
36,ഞ,164
37,ഞ്ച,167
38,ഞ്ഞ,176
39,ട,177
40,ട്ട,186
41,ഠ,182
42,ഡ,193
43,ഡ്ഡ,179
44,ഢ,174
45,ണ,165
46,ണ്ട,183
47,ണ്ഡ,158
48,ണ്ണ,176
49,ണ്മ,183
50,ത,170
51,ത്ത,184
52,ത്ഥ,181
53,ത്ഭ,183
54,ത്മ,175
55,ത്ര,172
56,ത്സ,182
57,ഥ,181
58,ദ,166
59,ദ്ദ,180
60,ദ്ധ,172
61,ദ്ര,175
62,ധ,176
63,ന,180
64,ന്ത,163
65,ന്ഥ,178
66,ന്ദ,192
67,ന്ധ,176
68,ന്ന,164
69,പ,176
70,പ്പ,184
71,പ്ല,174
72,ഫ,171
73,ബ,163
74,ബ്ദ,154
75,ബ്ധ,176
76,ബ്ബ,175
77,ബ്ല,163
78,ഭ,167
79,മ,182
80,മ്പ,179
81,മ്മ,171
82,മ്ല,173
83,യ,167
84,യ്യ,168
85,ര,178
86,റ,175
87,റ്റ,185
88,ല,176
89,ല്ല,176
90,ള,174
91,ഴ,182
92,വ,160
93,വ്വ,170
94,ശ,174
95,ശ്ച,177
96,ശ്മ,179
97,ശ്ര,175
98,ഷ,171
99,സ,180
100,സ്ത,198
101,സ്ഥ,164
102,സ്ന,170
103,സ്പ,173
104,സ്മ,173
105,സ്ല,167
106,സ്സ,182
107,ഹ,166
108,ഹ്ന,180
109,ാ,176
110,ി,173
111,ീ,170
112,ു,191
113,ൂ,189
114,ൃ,175
115,െ,171
116,േ,176
117,്,180
118,്ര,187
119,ൗ,172
120,൯,163
121,ൺ,171
122,ൻ്റ,178
123,ർ,176
124,ൽ,182
125,ൾ,181
